Image Name,Element ID,Type,Bounding Box,Normalized Bounding Box,Interactivity,Interaction Type,Content,OCR Confidence,IOU with Previous,Dominant Color
frame_0000.jpg,e9891b3a58,text,"[137, 868, 388, 916]","[0.13671875, 0.825925925925926, 0.13072916666666667, 0.044444444444444446]",FALSE,Text,Fillingim; Blane,0,0,"(76, 75, 84)"
frame_0000.jpg,e750c5f7aa,text,"[554, 868, 803, 916]","[0.3533854166666667, 0.825925925925926, 0.1296875, 0.044444444444444446]",FALSE,Text,"Fillingim, Blane",0,0,"(76, 74, 85)"
frame_0000.jpg,3d5e420d9e,text,"[1556, 76, 1825, 119]","[0.88046875, 0.09027777777777778, 0.14010416666666667, 0.03981481481481482]",TRUE,Text,Microsoft Teams,0,0,"(79, 78, 86)"
frame_0000.jpg,68a0c92cee,text,"[143, 827, 238, 861]","[0.09921875, 0.7814814814814814, 0.049479166666666664, 0.03148148148148148]",TRUE,Text,Recorded by,0,0,"(69, 68, 76)"
frame_0000.jpg,e7378f9d0a,text,"[558, 829, 659, 860]","[0.31692708333333336, 0.7819444444444444, 0.05260416666666667, 0.028703703703703703]",TRUE,Text,Organized by,0,0,"(71, 69, 80)"
frame_0000.jpg,cd1610e7ab,text,"[137, 481, 901, 591]","[0.2703125, 0.4962962962962963, 0.39791666666666664, 0.10185185185185185]",TRUE,Text,Test HyperMILL P2,0,0,"(87, 86, 93)"
frame_0000.jpg,5689a0fc7f,text,"[142, 710, 502, 755]","[0.16770833333333332, 0.6782407407407407, 0.1875, 0.041666666666666664]",TRUE,Text,2024-12-19 18.07 UTC,0,0,"(74, 72, 82)"
frame_0000.jpg,5d53fbd946,icon,"[1556, 76, 1825, 119]","[0.88046875, 0.09027777777777778, 0.14010416666666667, 0.03981481481481482]",TRUE,Clickable,No object detected.,0,0,"(79, 78, 86)"
frame_0000.jpg,dab2f0cb12,icon,"[143, 827, 238, 861]","[0.09921875, 0.7814814814814814, 0.049479166666666664, 0.03148148148148148]",TRUE,Clickable,No object detected.,0,0,"(69, 68, 76)"
frame_0000.jpg,0b6bac907b,icon,"[558, 829, 659, 860]","[0.31692708333333336, 0.7819444444444444, 0.05260416666666667, 0.028703703703703703]",TRUE,Clickable,No object detected.,0,0,"(71, 69, 80)"
frame_0000.jpg,3c876a01de,icon,"[137, 481, 901, 591]","[0.2703125, 0.4962962962962963, 0.39791666666666664, 0.10185185185185185]",TRUE,Clickable,No object detected.,0,0,"(87, 86, 93)"
frame_0000.jpg,13112cf3ce,icon,"[142, 710, 502, 755]","[0.16770833333333332, 0.6782407407407407, 0.1875, 0.041666666666666664]",TRUE,Clickable,No object detected.,0,0,"(74, 72, 82)"
frame_0001.jpg,327d7536ec,text,"[135, 862, 390, 918]","[0.13671875, 0.8240740740740741, 0.1328125, 0.05185185185185185]",FALSE,Text,Fillingim; Blane,0,0,"(72, 70, 79)"
frame_0001.jpg,e750c5f7aa,text,"[554, 868, 803, 916]","[0.3533854166666667, 0.825925925925926, 0.1296875, 0.044444444444444446]",FALSE,Text,"Fillingim, Blane",0,0,"(77, 75, 84)"
frame_0001.jpg,8e0fdddb8b,text,"[1555, 76, 1825, 119]","[0.8802083333333334, 0.09027777777777778, 0.140625, 0.03981481481481482]",TRUE,Text,Microsoft Teams,0,0,"(79, 77, 86)"
frame_0001.jpg,a6cbc451dc,text,"[558, 828, 659, 860]","[0.31692708333333336, 0.7814814814814814, 0.05260416666666667, 0.02962962962962963]",TRUE,Text,Organized by,0,0,"(70, 69, 79)"
frame_0001.jpg,da5dc6b1f0,text,"[136, 482, 901, 591]","[0.27005208333333336, 0.49675925925925923, 0.3984375, 0.10092592592592593]",TRUE,Text,Test HyperMILL P2,0,0,"(87, 86, 94)"
frame_0001.jpg,7f4ce6b65a,text,"[142, 828, 237, 861]","[0.09869791666666666, 0.7819444444444444, 0.049479166666666664, 0.030555555555555555]",TRUE,Text,Recorded by,0,0,"(70, 68, 77)"
frame_0001.jpg,3585b407de,text,"[142, 709, 502, 755]","[0.16770833333333332, 0.6777777777777778, 0.1875, 0.04259259259259259]",TRUE,Text,2024-12-19 18.07 UTC,0,0,"(73, 72, 81)"
frame_0001.jpg,0df40ea668,icon,"[1555, 76, 1825, 119]","[0.8802083333333334, 0.09027777777777778, 0.140625, 0.03981481481481482]",TRUE,Clickable,No object detected.,0,0,"(79, 77, 86)"
frame_0001.jpg,1b5e3fce53,icon,"[558, 828, 659, 860]","[0.31692708333333336, 0.7814814814814814, 0.05260416666666667, 0.02962962962962963]",TRUE,Clickable,No object detected.,0,0,"(70, 69, 79)"
frame_0001.jpg,1676a56e01,icon,"[136, 482, 901, 591]","[0.27005208333333336, 0.49675925925925923, 0.3984375, 0.10092592592592593]",TRUE,Clickable,No object detected.,0,0,"(87, 86, 94)"
frame_0001.jpg,dcc8b43413,icon,"[142, 828, 237, 861]","[0.09869791666666666, 0.7819444444444444, 0.049479166666666664, 0.030555555555555555]",TRUE,Clickable,No object detected.,0,0,"(70, 68, 77)"
frame_0001.jpg,3de00cf735,icon,"[142, 709, 502, 755]","[0.16770833333333332, 0.6777777777777778, 0.1875, 0.04259259259259259]",TRUE,Clickable,No object detected.,0,0,"(73, 72, 81)"
frame_0002.jpg,a79d43a87c,text,"[914, 501, 1010, 576]","[0.5010416666666667, 0.4986111111111111, 0.05, 0.06944444444444445]",FALSE,Text,BF,0,0,"(150, 165, 172)"
frame_0002.jpg,cbb3f053c5,text,"[776, 642, 897, 666]","[0.4356770833333333, 0.6055555555555555, 0.06302083333333333, 0.022222222222222223]",FALSE,Text,"Fillingim, Blane",0,0,"(34, 34, 34)"
frame_0003.jpg,a79d43a87c,text,"[914, 501, 1010, 576]","[0.5010416666666667, 0.4986111111111111, 0.05, 0.06944444444444445]",FALSE,Text,BF,0,0,"(150, 165, 172)"
frame_0003.jpg,cbb3f053c5,text,"[776, 642, 897, 666]","[0.4356770833333333, 0.6055555555555555, 0.06302083333333333, 0.022222222222222223]",FALSE,Text,"Fillingim, Blane",0,0,"(34, 34, 34)"
frame_0004.jpg,5c5687e232,text,"[20, 127, 100, 144]","[0.03125, 0.12546296296296297, 0.041666666666666664, 0.01574074074074074]",FALSE,Text,hyperMILL?,0,0,"(205, 206, 210)"
frame_0004.jpg,792bf285f7,text,"[145, 127, 223, 143]","[0.09583333333333334, 0.125, 0.040625, 0.014814814814814815]",FALSE,Text,FOR RESALE,0,0,"(201, 202, 206)"
frame_0004.jpg,18cd7384c6,text,"[233, 127, 339, 144]","[0.14895833333333333, 0.12546296296296297, 0.05520833333333333, 0.01574074074074074]",FALSE,Text,DWMac{ Dropbox,0,0,"(205, 206, 210)"
frame_0004.jpg,08455da7a5,text,"[358, 126, 612, 145]","[0.2526041666666667, 0.12546296296296297, 0.13229166666666667, 0.017592592592592594]",FALSE,Text,Business 3161 SpotSizeWalls| 2022_01_11,0,0,"(207, 208, 212)"
