Image Name,Element ID,Type,Bounding Box,Normalized Bounding Box,Interactivity,Interaction Type,Content,OCR Confidence,IOU with Previous,Dominant Color,,,
frame_000.png,e9891b3a58,text,"[137, 868, 388, 916]","[0.13671875, 0.825925925925926, 0.13072916666666667, 0.044444444444444446]",FALSE,Text,Fillingim; Blane,0,0,"(76, 74, 83)",,,
frame_000.png,e750c5f7aa,text,"[554, 868, 803, 916]","[0.3533854166666667, 0.825925925925926, 0.1296875, 0.044444444444444446]",FALSE,Text,"Fillingim, Blane",0,0,"(76, 74, 84)",,,
frame_000.png,3d5e420d9e,text,"[1556, 76, 1825, 119]","[0.88046875, 0.09027777777777778, 0.14010416666666667, 0.03981481481481482]",TRUE,Text,Microsoft Teams,0,0,"(79, 77, 85)",,,
frame_000.png,68a0c92cee,text,"[143, 827, 238, 861]","[0.09921875, 0.7814814814814814, 0.049479166666666664, 0.03148148148148148]",TRUE,Text,Recorded by,0,0,"(69, 67, 75)",,,
frame_000.png,33faae14c2,text,"[137, 482, 901, 591]","[0.2703125, 0.49675925925925923, 0.39791666666666664, 0.10092592592592593]",TRUE,Text,Test HyperMILL P2,0,0,"(87, 86, 93)",,,
frame_000.png,28eba146a9,text,"[558, 828, 659, 861]","[0.31692708333333336, 0.7819444444444444, 0.05260416666666667, 0.030555555555555555]",TRUE,Text,Organized by,0,0,"(70, 68, 78)",,,
frame_000.png,479ec3a204,text,"[142, 710, 503, 754]","[0.16796875, 0.6777777777777778, 0.18802083333333333, 0.040740740740740744]",TRUE,Text,2024-12-19 17.48 UTC,0,0,"(74, 72, 81)",,,
frame_000.png,5d53fbd946,icon,"[1556, 76, 1825, 119]","[0.88046875, 0.09027777777777778, 0.14010416666666667, 0.03981481481481482]",TRUE,Clickable,No object detected.,0,0,"(79, 77, 85)",,,
frame_000.png,dab2f0cb12,icon,"[143, 827, 238, 861]","[0.09921875, 0.7814814814814814, 0.049479166666666664, 0.03148148148148148]",TRUE,Clickable,No object detected.,0,0,"(69, 67, 75)",,,
frame_000.png,9feeacfd5e,icon,"[137, 482, 901, 591]","[0.2703125, 0.49675925925925923, 0.39791666666666664, 0.10092592592592593]",TRUE,Clickable,No object detected.,0,0,"(87, 86, 93)",,,
